Directors Guild Nominations and Winners for best Director from 1948,,,
Year,d nominees,Film,Ref.
2006,Stephen Frears,The Queen,Nominee
2007,Joel Coen and Ethan Coen,No Country for Old Men,Winner
2007,Julian Schnabel,The Diving Bell and the Butterfly,Nominee
2007,Paul Thomas Anderson,There Will Be Blood,Nominee
2007,Sean Penn,Into the Wild,Nominee
2007,Tony Gilroy,Michael Clayton,Nominee
2008,Danny Boyle,Slumdog Millionaire,Winner
2008,Christopher Nolan,The Dark Knight,Nominee
2008,David Fincher,The Curious Case of Benjamin Button,Nominee
2008,Gus Van Sant,Milk,Nominee
2008,Ron Howard,Frost/Nixon,Nominee
2009,Kathryn Bigelow,The Hurt Locker,Winner
2009,James Cameron,Avatar,Nominee
2009,Jason Reitman,Up in the Air,Nominee
2009,Lee Daniels,Precious,Nominee
2009,Quentin Tarantino,Inglourious Basterds,Nominee
2010,Tom Hooper,The King's Speech,Winner
2010,Christopher Nolan,Inception,Nominee
2010,Darren Aronofsky,Black Swan,Nominee
2010,David Fincher,The Social Network,Nominee
2010,David O. Russell,The Fighter,Nominee
2011,Michel Hazanavicius,The Artist,Winner
2011,Alexander Payne,The Descendants,Nominee
2011,David Fincher,The Girl with the Dragon Tattoo,Nominee
2011,Martin Scorsese,Hugo,Nominee
2011,Woody Allen,Midnight in Paris,Nominee
2012,Ben Affleck,Argo,Winner
2012,Ang Lee,Life of Pi,Nominee
2012,Kathryn Bigelow,Zero Dark Thirty,Nominee
2012,Steven Spielberg,Lincoln,Nominee
2012,Tom Hooper,Les Misérables,Nominee
2013,Alfonso Cuarón,Gravity,Winner
2013,David O. Russell,American Hustle,Nominee
2013,Martin Scorsese,The Wolf of Wall Street,Nominee
2013,Paul Greengrass,Captain Phillips,Nominee
2013,Steve McQueen,12 Years a Slave,Nominee
2014,Alejandro G. Iñárritu,Birdman or (The Unexpected Virtue of Ignorance),Winner
2014,Clint Eastwood,American Sniper,Nominee
2014,Morten Tyldum,The Imitation Game,Nominee
2014,Richard Linklater,Boyhood,Nominee
2014,Wes Anderson,The Grand Budapest Hotel,Nominee
2015,Alejandro G. Iñárritu,The Revenant,Winner
2015,Adam McKay,The Big Short,Nominee
2015,George Miller,Mad Max: Fury Road,Nominee
2015,Ridley Scott,The Martian,Nominee
2015,Tom McCarthy,Spotlight,Nominee
2016,Damien Chazelle,La La Land,Winner
2016,Barry Jenkins,Moonlight,Nominee
2016,Denis Villeneuve,Arrival,Nominee
2016,Garth Davis,Lion,Nominee
2016,Kenneth Lonergan,Manchester by the Sea,Nominee
2017,Guillermo del Toro,The Shape of Water,Winner
2017,Christopher Nolan,Dunkirk,Nominee
2017,Greta Gerwig,Lady Bird,Nominee
2017,Jordan Peele,Get Out,Nominee
2017,Martin McDonagh,"Three Billboards Outside Ebbing, Missouri",Nominee
2018,Alfonso Cuarón,Roma,Winner
2018,Adam McKay,Vice,Nominee
2018,Bradley Cooper,A Star Is Born,Nominee
2018,Peter Farrelly,Green Book,Nominee
2018,Spike Lee,BlacKkKlansman,Nominee
2019,Sam Mendes,1917,Winner
2019,Bong Joon-ho,Parasite,Nominee
2019,Martin Scorsese,The Irishman,Nominee
2019,Quentin Tarantino,Once Upon a Time in Hollywood,Nominee
2019,Taika Waititi,Jojo Rabbit,Nominee
2020,Chloé Zhao,Nomadland,Winner
2020,Aaron Sorkin,The Trial of the Chicago 7,Nominee
2020,David Fincher,Mank,Nominee
2020,Emerald Fennell,Promising Young Woman,Nominee
2020,Lee Isaac Chung,Minari,Nominee
2021,Jane Campion,The Power of the Dog,Winner
2021,Denis Villeneuve,Dune,Nominee
2021,Kenneth Branagh,Belfast,Nominee
2021,Paul Thomas Anderson,Licorice Pizza,Nominee
2021,Steven Spielberg,West Side Story,Nominee
2022,Daniel Kwan and Daniel Scheinert,Everything Everywhere All at Once,Winner
2022,Joseph Kosinski,Top Gun: Maverick,Nominee
2022,Martin McDonagh,The Banshees of Inisherin,Nominee
2022,Steven Spielberg,The Fabelmans,Nominee
2022,Todd Field,Tár,Nominee
